Product Name,Product Lable,Product Discription,Product Price,Product Image Link
Poire Williams,,Au Kg,"5,750",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2800104000000_1.jpg
Poire bouguedma,,Au Kg,"5,750",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2856788000000_2.jpg
Prune noire,,Au Kg,"3,450",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2800295000000_2.jpg
Pêche jaune,,Au Kg,"2,990",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2800247000000_2.jpg
Pastèque,,Au Kg,"0,750",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2856897000000.jpg
Pomme Anna calibre moyen,,Au Kg,"3,450",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2800094000000_2.jpg
Pomme Anna calibre petit,,Au Kg,"2,530",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2856061000000_2.jpg
Melon jaune canarie,,Au Kg,"9,200",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2856687000000.jpg
Raisins Noir,,Au Kg,"3,790",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2800130000000_1.jpg
Raisins Flam Seedless Rouge,,Au Kg,"10,000",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2800132000000_1.jpg
Raisins Seedless,,Au Kg,"3,450",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2800137000000-1_2.jpg
Raisins Victoria,,Au Kg,"2,875",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2800135000000.jpg
Cerise,,La barquette de 200g,"7,250",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191493700332.jpg
Dattes branchées,DORRA,La barquette de 1Kg,"11,500",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191567000092_3.jpg
Dattes branchées,GHANJA,Le paquet de 1kg,"11,900",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191451000078_2.jpg
Dattes en ravier,,La barquette de 250g,"2,090",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191567000252_1.jpg
Dattes nature standard,,La barquette de 250g,"2,880",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191410000057_1.jpg
Dattes branchées,KARTHAGO,La barquette de 1Kg,"10,900",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191309700198.jpg
Dattes dénoyautées,,La barquette de 800g,"9,750",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191309700112_2.jpg
Clémentine,,Au Kg,"3,335",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2856655000000_1_2.jpg
Clémentine Nuless,,Au Kg,"3,450",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2823561000000_1.jpg
Clémentine Cassar,,Au Kg,"3,680",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2800267000000_1.jpg
Pomme délicieuse,,Au Kg,"4,500",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2856810000000.jpg
Pomme Golden,,Au Kg,"4,500",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2856632000000.jpg
Pomelo rose,,Au Kg,"2,875",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2800070000000.jpg
Poire Williams AA,,Au Kg,"4,600",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2856713000000.jpg
Orange maltaise à jus,,Au Kg,"4,255",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2800027000000.jpg
Coing,,Au Kg,"5,175",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2800123000000.jpg
Citron,,Au Kg,"8,050",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2800064000000_1.jpg
Banane,,Au Kg,"5,000",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2800613000000-1banane.jpg
Datte branchée,DATTE D'OR,La barquette de 1Kg,"8,200",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191506900117-1.jpg
Datte standard,DATSUD,La barquette de 250g,"1,900",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191506900049-1.jpg
Datte branchée,DATSUD,La barquette de 500g,"4,750",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191506900032-1.JPG
Datte branchée,DATSUD,La barquette de 1Kg,"9,990",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191506900025-1.jpg
Mangue,,La pièce,"11,990",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/0/2056560002457-1.jpg
Arilles de grenade,,Le 150g,"4,680",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191430601906-1_1.jpg
Ananas,,La pièce,"9,775",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/0/2056560001443-1_1.jpg
Framboise,,La barquette de 125g,"4,490",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191467500012-1_1.jpg
Kiwi,,La pièce    ,"0,600",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/0/2056560001412-1_1_1.jpg
