Product Name,Product Lable,Product Discription,Product Price,Product Image Link
Noisettes décortiquées extra,,Au Kg,"37,900",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2825839000000.jpg
Pistaches moulues extra,,Au Kg,"122,500",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2825838000000.jpg
Amandes rouges moulues extra,,Au Kg,"36,600",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2824837000000.jpg
Amandes blanches moulues extra,,Au Kg,"40,900",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2824836000000.jpg
Noisettes moulues extra,,Au Kg,"60,000",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2825835000000_1.jpg
Cerneaux de noix extra,,Au Kg,"55,500",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2824833000000.jpg
Raisins secs,,Au Kg,"19,900",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828174000000.jpg
Pistaches décortiquées,,Au Kg,"119,000",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828826000000-1.jpg
Pignons de pin Chinois,,Au Kg,"125,000",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828178000000-1.jpg
Amandes blanchies extra,,Au Kg,"49,760",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828825000000.jpg
Noix de cajou,,Au Kg,"46,800",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2811188000000-1.jpg
Noisettes décortiquées,,Au Kg,"50,000",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828176000000.jpg
Noisettes blanchies,,Au Kg,"58,400",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828994000000_1.jpg
Amandes de Californie,,Au Kg,"36,000",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2811230000000.jpg
Pistaches en coque salées,,Au Kg,"39,500",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828991000000-1.jpg
Noix décortiquées,,Au Kg,"32,900",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828963000000.jpg
Noix de cajou salée grillée,,Au Kg,"46,700",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828626000000-1.jpg
Amandes grillées salées,,Au Kg,"34,400",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2828967000000.jpg
Amandes achek salées,,Au Kg,"78,000",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/2/8/2825834000000.jpg
Raisin sec Golden Jumbo,DES'HY,Le sachet de 200g,"5,500",https://media.carrefour.tn/catalog/product/cache/bbe61c5e1237d092bcb31b107702a416/6/1/6191482700039-1.jpg
